x rho u p
1.791510611735e-01 8.345250961062e+03 2.102090740432e-01 7.762745061687e+03
1.803995006242e-01 8.285923646049e+03 2.183449694018e-01 7.685594440358e+03
1.816479400749e-01 8.226948557080e+03 2.264788820115e-01 7.609120545476e+03
1.828963795256e-01 8.168330121967e+03 2.346099607173e-01 7.533326115587e+03
1.841448189763e-01 8.110072085873e+03 2.427374311981e-01 7.458212945517e+03
1.853932584270e-01 8.052177574373e+03 2.508605895293e-01 7.383781980277e+03
1.866416978777e-01 7.994649142540e+03 2.589787974716e-01 7.310033389627e+03
1.878901373283e-01 7.937488812594e+03 2.670914791979e-01 7.236966626904e+03
1.891385767790e-01 7.880698102182e+03 2.751981192194e-01 7.164580475060e+03
1.903870162297e-01 7.824278045113e+03 2.832982613021e-01 7.092873082430e+03
1.916354556804e-01 7.768229206084e+03 2.913915081880e-01 7.021841990409e+03
1.928838951311e-01 7.712551690817e+03 2.994775219495e-01 6.951484154945e+03
1.941323345818e-01 7.657245152896e+03 3.075560248129e-01 6.881795963619e+03
1.953807740325e-01 7.602308798526e+03 3.156268002890e-01 6.812773249895e+03
1.966292134831e-01 7.547741390351e+03 3.236896944547e-01 6.744411306055e+03
1.978776529338e-01 7.493541251455e+03 3.317446172229e-01 6.676704896200e+03
1.991260923845e-01 7.439706270577e+03 3.397915434455e-01 6.609648270629e+03
2.003745318352e-01 7.386233909523e+03 3.478305136923e-01 6.543235182779e+03
2.016229712859e-01 7.333121213697e+03 3.558616345558e-01 6.477458909783e+03
2.028714107366e-01 7.280364826515e+03 3.638850783412e-01 6.412312277564e+03
2.041198501873e-01 7.227961008382e+03 3.719010820174e-01 6.347787691160e+03
2.053682896380e-01 7.175905660729e+03 3.799099453207e-01 6.283877170793e+03
2.066167290886e-01 7.124194355396e+03 3.879120279345e-01 6.220572393931e+03
2.078651685393e-01 7.072822369458e+03 3.959077456939e-01 6.157864743298e+03
2.091136079900e-01 7.021784725336e+03 4.038975658037e-01 6.095745360553e+03
2.103620474407e-01 6.971076235802e+03 4.118820010933e-01 6.034205205007e+03
2.116104868914e-01 6.920691553233e+03 4.198616033759e-01 5.973235116528e+03
2.128589263421e-01 6.870625222272e+03 4.278369560142e-01 5.912825881479e+03
2.141073657928e-01 6.820871734827e+03 4.358086658361e-01 5.852968300384e+03
2.153558052434e-01 6.771425586228e+03 4.437773545708e-01 5.793653255802e+03
2.166042446941e-01 6.722281331228e+03 4.517436500038e-01 5.734871778864e+03
2.178526841448e-01 6.673433638513e+03 4.597081770640e-01 5.676615112868e+03
2.191011235955e-01 6.624877342402e+03 4.676715490613e-01 5.618874772411e+03
2.203495630462e-01 6.576607490493e+03 4.756343592923e-01 5.561642596667e+03
2.215980024969e-01 6.528619386163e+03 4.835971732159e-01 5.504910795625e+03
2.228464419476e-01 6.480908624999e+03 4.915605213785e-01 5.448671988316e+03
2.240948813983e-01 6.433471124475e+03 4.995248932423e-01 5.392919232402e+03
2.253433208489e-01 6.386303146422e+03 5.074907320296e-01 5.337646044734e+03
2.265917602996e-01 6.339401312095e+03 5.154584306644e-01 5.282846412854e+03
2.278401997503e-01 6.292762609898e+03 5.234283288477e-01 5.228514797653e+03
2.290886392010e-01 6.246384396020e+03 5.314007112699e-01 5.174646127694e+03
2.303370786517e-01 6.200264388475e+03 5.393758069251e-01 5.121235785914e+03
2.315855181024e-01 6.154400655171e+03 5.473537894654e-01 5.068279589576e+03
2.328339575531e-01 6.108791596747e+03 5.553347785039e-01 5.015773764495e+03
2.340823970037e-01 6.063435925028e+03 5.633188417634e-01 4.963714914593e+03
2.353308364544e-01 6.018332637944e+03 5.713059979467e-01 4.912099987889e+03
2.365792759051e-01 5.973480991791e+03 5.792962202071e-01 4.860926239988e+03
2.378277153558e-01 5.928880471670e+03 5.872894400888e-01 4.810191196083e+03
2.390761548065e-01 5.884530760885e+03 5.952855518153e-01 4.759892612392e+03
2.403245942572e-01 5.840431710004e+03 6.032844168100e-01 4.710028437869e+03
2.415730337079e-01 5.796583306216e+03 6.112858683406e-01 4.660596776875e+03
2.428214731586e-01 5.752985643512e+03 6.192897161935e-01 4.611595853410e+03
2.440699126092e-01 5.709638894125e+03 6.272957512962e-01 4.563023977382e+03
2.453183520599e-01 5.666543281587e+03 6.353037502154e-01 4.514879513250e+03
2.465667915106e-01 5.623699055665e+03 6.433134794751e-01 4.467160851323e+03
2.478152309613e-01 5.581106469372e+03 6.513246996481e-01 4.419866381864e+03
2.490636704120e-01 5.538765758170e+03 6.593371691829e-01 4.372994472089e+03
2.503121098627e-01 5.496677121448e+03 6.673506479426e-01 4.326543446092e+03
2.515605493134e-01 5.454840706285e+03 6.753649004329e-01 4.280511567659e+03
2.528089887640e-01 5.413256593494e+03 6.833796987098e-01 4.234897025895e+03
2.540574282147e-01 5.371924785891e+03 6.913948249582e-01 4.189697923576e+03
2.553058676654e-01 5.330845198732e+03 6.994100737393e-01 4.144912268077e+03
2.565543071161e-01 5.290017652234e+03 7.074252539071e-01 4.100537964750e+03
2.578027465668e-01 5.249441866063e+03 7.154401901986e-01 4.056572812588e+03
2.590511860175e-01 5.209117455715e+03 7.234547245023e-01 4.013014502015e+03
2.602996254682e-01 5.169043930642e+03 7.314687168143e-01 3.969860614630e+03
2.615480649189e-01 5.129220694027e+03 7.394820458909e-01 3.927108624743e+03
2.627965043695e-01 5.089647044077e+03 7.474946096086e-01 3.884755902529e+03
2.640449438202e-01 5.050322176701e+03 7.555063250465e-01 3.842799718626e+03
2.652933832709e-01 5.011245189446e+03 7.635171283027e-01 3.801237250009e+03
2.665418227216e-01 4.972415086565e+03 7.715269740641e-01 3.760065586963e+03
2.677902621723e-01 4.933830785058e+03 7.795358349454e-01 3.719281740997e+03
2.690387016230e-01 4.895491121563e+03 7.875437006190e-01 3.678882653504e+03
2.702871410737e-01 4.857394859944e+03 7.955505767555e-01 3.638865205020e+03
2.715355805243e-01 4.819540699429e+03 8.035564838001e-01 3.599226224906e+03
2.727840199750e-01 4.781927283161e+03 8.115614556089e-01 3.559962501274e+03
2.740324594257e-01 4.744553206997e+03 8.195655379706e-01 3.521070791028e+03
2.752808988764e-01 4.707417028429e+03 8.275687870422e-01 3.482547829826e+03
2.765293383271e-01 4.670517275480e+03 8.355712677253e-01 3.444390341856e+03
2.777777777778e-01 4.633852455436e+03 8.435730520109e-01 3.406595049260e+03
2.790262172285e-01 4.597421063296e+03 8.515742173209e-01 3.369158681097e+03
2.802746566792e-01 4.561221589818e+03 8.595748448725e-01 3.332077981725e+03
2.815230961298e-01 4.525252529061e+03 8.675750180899e-01 3.295349718517e+03
2.827715355805e-01 4.489512385333e+03 8.755748210885e-01 3.258970688822e+03
2.840199750312e-01 4.453999679460e+03 8.835743372516e-01 3.222937726107e+03
2.852684144819e-01 4.418712954337e+03 8.915736479185e-01 3.187247705251e+03
2.865168539326e-01 4.383650779694e+03 8.995728311990e-01 3.151897546950e+03
2.877652933833e-01 4.348811756075e+03 9.075719609287e-01 3.116884221233e+03
2.890137328340e-01 4.314194518006e+03 9.155711057715e-01 3.082204750095e+03
2.902621722846e-01 4.279797736354e+03 9.235703284770e-01 3.047856209276e+03
2.915106117353e-01 4.245620119926e+03 9.315696852951e-01 3.013835729221e+03
2.927590511860e-01 4.211660416302e+03 9.395692255463e-01 2.980140495275e+03
2.940074906367e-01 4.177917411985e+03 9.475689913447e-01 2.946767747179e+03
2.952559300874e-01 4.144389931907e+03 9.555690174669e-01 2.913714777931e+03
2.965043695381e-01 4.111076838351e+03 9.635693313594e-01 2.880978932090e+03
2.977528089888e-01 4.077977029372e+03 9.715699532712e-01 2.848557603616e+03
2.990012484395e-01 4.045089436782e+03 9.795708965032e-01 2.816448233310e+03
3.002496878901e-01 4.012413023776e+03 9.875721677565e-01 2.784648305953e+03
3.014981273408e-01 3.979946782282e+03 9.955737675695e-01 2.753155347213e+03
3.027465667915e-01 3.947689730091e+03 1.003575690825e+00 2.721966920416e+03
3.039950062422e-01 3.915640907864e+03 1.011577927317e+00 2.691080623225e+03
3.052434456929e-01 3.883799376063e+03 1.019580462356e+00 2.660494084325e+03
3.064918851436e-01 3.852164211878e+03 1.027583277406e+00 2.630204960155e+03
3.077403245943e-01 3.820734506199e+03 1.035586350733e+00 2.600210931748e+03
3.089887640449e-01 3.789509360698e+03 1.043589658059e+00 2.570509701724e+03
3.102372034956e-01 3.758487885045e+03 1.051593173200e+00 2.541098991478e+03
3.114856429463e-01 3.727669194308e+03 1.059596868688e+00 2.511976538586e+03
3.127340823970e-01 3.697052406570e+03 1.067600716365e+00 2.483140094465e+03
3.139825218477e-01 3.666636640763e+03 1.075604687932e+00 2.454587422286e+03
3.152309612984e-01 3.636421014774e+03 1.083608755460e+00 2.426316295177e+03
3.164794007491e-01 3.606404643791e+03 1.091612891853e+00 2.398324494689e+03
3.177278401998e-01 3.576586638933e+03 1.099617071250e+00 2.370609809546e+03
3.189762796504e-01 3.546966106133e+03 1.107621269378e+00 2.343170034668e+03
3.202247191011e-01 3.517542145290e+03 1.115625463841e+00 2.316002970449e+03
3.214731585518e-01 3.488313849669e+03 1.123629634359e+00 2.289106422283e+03
3.227215980025e-01 3.459280305544e+03 1.131633762945e+00 2.262478200317e+03
3.239700374532e-01 3.430440592054e+03 1.139637834021e+00 2.236116119414e+03
3.252184769039e-01 3.401793781280e+03 1.147641834492e+00 2.210017999306e+03
3.264669163546e-01 3.373338938484e+03 1.155645753760e+00 2.184181664902e+03
3.277153558052e-01 3.345075122527e+03 1.163649583699e+00 2.158604946744e+03
3.289637952559e-01 3.317001386411e+03 1.171653318580e+00 2.133285681581e+03
3.302122347066e-01 3.289116777937e+03 1.179656954967e+00 2.108221713027e+03
3.314606741573e-01 3.261420340458e+03 1.187660491574e+00 2.083410892300e+03
3.327091136080e-01 3.233911113692e+03 1.195663929100e+00 2.058851078996e+03
3.339575530587e-01 3.206588134580e+03 1.203667270037e+00 2.034540141904e+03
3.352059925094e-01 3.179450438173e+03 1.211670518466e+00 2.010475959816e+03
3.364544319600e-01 3.152497058524e+03 1.219673679839e+00 1.986656422330e+03
3.377028714107e-01 3.125727029567e+03 1.227676760754e+00 1.963079430634e+03
3.389513108614e-01 3.099139385982e+03 1.235679768733e+00 1.939742898240e+03
3.401997503121e-01 3.072733164019e+03 1.243682711996e+00 1.916644751676e+03
3.414481897628e-01 3.046507402274e+03 1.251685599243e+00 1.893782931105e+03
3.426966292135e-01 3.020461142419e+03 1.259688439452e+00 1.871155390890e+03
3.439450686642e-01 2.994593429865e+03 1.267691241681e+00 1.848760100076e+03
3.451935081149e-01 2.968903314352e+03 1.275694014895e+00 1.826595042797e+03
3.464419475655e-01 2.943389850470e+03 1.283696767800e+00 1.804658218605e+03
3.476903870162e-01 2.918052098092e+03 1.291699508708e+00 1.782947642720e+03
3.489388264669e-01 2.892889122723e+03 1.299702245413e+00 1.761461346208e+03
3.501872659176e-01 2.867899995746e+03 1.307704985092e+00 1.740197376075e+03
3.514357053683e-01 2.843083794592e+03 1.315707734225e+00 1.719153795307e+03
3.526841448190e-01 2.818439602794e+03 1.323710498540e+00 1.698328682833e+03
3.539325842697e-01 2.793966509962e+03 1.331713282972e+00 1.677720133441e+03
3.551810237203e-01 2.769663611666e+03 1.339716091641e+00 1.657326257636e+03
3.564294631710e-01 2.745530009249e+03 1.347718927857e+00 1.637145181461e+03
3.576779026217e-01 2.721564809575e+03 1.355721794127e+00 1.617175046278e+03
3.589263420724e-01 2.697767124735e+03 1.363724692188e+00 1.597414008518e+03
3.601747815231e-01 2.674136071737e+03 1.371727623045e+00 1.577860239420e+03
3.614232209738e-01 2.650670772198e+03 1.379730587022e+00 1.558511924739e+03
3.626716604245e-01 2.627370352059e+03 1.387733583825e+00 1.539367264458e+03
3.639200998752e-01 2.604233941350e+03 1.395736612603e+00 1.520424472486e+03
3.651685393258e-01 2.581260674019e+03 1.403739672024e+00 1.501681776368e+03
3.664169787765e-01 2.558449687833e+03 1.411742760343e+00 1.483137416989e+03
3.676654182272e-01 2.535800124360e+03 1.419745875483e+00 1.464789648293e+03
3.689138576779e-01 2.513311129010e+03 1.427749015104e+00 1.446636737015e+03
3.701622971286e-01 2.490981851141e+03 1.435752176675e+00 1.428676962419e+03
3.714107365793e-01 2.468811444181e+03 1.443755357548e+00 1.410908616066e+03
3.726591760300e-01 2.446799065751e+03 1.451758555016e+00 1.393330001581e+03
3.739076154806e-01 2.424943877741e+03 1.459761766378e+00 1.375939434457e+03
3.751560549313e-01 2.403245046303e+03 1.467764988988e+00 1.358735241868e+03
3.764044943820e-01 2.381701741727e+03 1.475768220306e+00 1.341715762501e+03
3.776529338327e-01 2.360313138163e+03 1.483771457937e+00 1.324879346421e+03
3.789013732834e-01 2.339078413184e+03 1.491774699663e+00 1.308224354944e+03
3.801498127341e-01 2.317996747168e+03 1.499777943475e+00 1.291749160540e+03
3.813982521848e-01 2.297067322539e+03 1.507781187586e+00 1.275452146754e+03
3.826466916355e-01 2.276289322871e+03 1.515784430450e+00 1.259331708149e+03
3.838951310861e-01 2.255661931931e+03 1.523787670768e+00 1.243386250268e+03
3.851435705368e-01 2.235184332718e+03 1.531790907489e+00 1.227614189617e+03
3.863920099875e-01 2.214855706583e+03 1.539794139807e+00 1.212013953659e+03
3.876404494382e-01 2.194675232522e+03 1.547797367154e+00 1.196583980830e+03
3.888888888889e-01 2.174642086724e+03 1.555800589186e+00 1.181322720552e+03
3.901373283396e-01 2.154755442470e+03 1.563803805769e+00 1.166228633267e+03
3.913857677903e-01 2.135014470440e+03 1.571807016962e+00 1.151300190464e+03
3.926342072409e-01 2.115418339477e+03 1.579810222995e+00 1.136535874704e+03
3.938826466916e-01 2.095966217830e+03 1.587813424246e+00 1.121934179642e+03
3.951310861423e-01 2.076657274842e+03 1.595816621223e+00 1.107493610036e+03
3.963795255930e-01 2.057490683041e+03 1.603819814538e+00 1.093212681741e+03
3.976279650437e-01 2.038465620538e+03 1.611823004883e+00 1.079089921682e+03
3.988764044944e-01 2.019581273587e+03 1.619826193011e+00 1.065123867811e+03
4.001248439451e-01 2.000836839167e+03 1.627829379713e+00 1.051313069041e+03
4.013732833958e-01 1.982231527389e+03 1.635832565801e+00 1.037656085157e+03
4.026217228464e-01 1.963764563539e+03 1.643835752083e+00 1.024151486710e+03
4.038701622971e-01 1.945435189575e+03 1.651838939356e+00 1.010797854894e+03
4.051186017478e-01 1.927242664881e+03 1.659842128383e+00 9.975937814113e+02
4.063670411985e-01 1.909186266145e+03 1.667845319889e+00 9.845378683337e+02
4.076154806492e-01 1.891265286251e+03 1.675848514543e+00 9.716287279596e+02
4.088639200999e-01 1.873479032120e+03 1.683851712956e+00 9.588649826839e+02
4.101123595506e-01 1.855826821515e+03 1.691854915674e+00 9.462452648811e+02
4.113607990012e-01 1.838307978871e+03 1.699858123172e+00 9.337682168102e+02
4.126092384519e-01 1.820921830297e+03 1.707861335854e+00 9.214324905482e+02
4.138576779026e-01 1.803667697937e+03 1.715864554056e+00 9.092367479575e+02
4.151061173533e-01 1.786544893966e+03 1.723867778041e+00 8.971796606894e+02
4.163545568040e-01 1.769552714508e+03 1.731871008010e+00 8.852599102267e+02
4.176029962547e-01 1.752690433825e+03 1.739874244098e+00 8.734761879636e+02
4.188514357054e-01 1.735957299133e+03 1.747877486386e+00 8.618271953206e+02
4.200998751561e-01 1.719352526382e+03 1.755880734905e+00 8.503116438889e+02
4.213483146067e-01 1.702875297348e+03 1.763883989642e+00 8.389282555959e+02
4.225967540574e-01 1.686524758318e+03 1.771887250545e+00 8.276757628844e+02
4.238451935081e-01 1.670300020597e+03 1.779890517536e+00 8.165529088914e+02
4.250936329588e-01 1.654200163006e+03 1.787893790512e+00 8.055584476162e+02
4.263420724095e-01 1.638224236436e+03 1.795897069353e+00 7.946911440643e+02
4.275905118602e-01 1.622371270439e+03 1.803900353933e+00 7.839497743533e+02
4.288389513109e-01 1.606640281733e+03 1.811903644119e+00 7.733331257688e+02
